Sizing item,Answer complete,Example for reference,,Application 1: Aksara SSO,,,Application 2: OFM (Office Facility Management),,,
,,,Production,Production Env,Staging Env,Development Env,Production Env,Staging Env,Development Env,
Data,,,,,,,,,,
Data volume that will be stored,TRUE,50 GB,,,2.5 GB,500 MB,100 MB,15 GB,3 GB,500 MB
Can you share a sample of existing documents?,TRUE,"Customer doc, Order doc (see example column)",,,"User: {_id: ObjectId, email: admin@ias.co.id, employeeId: IAS-0001, roles: [admin]} | Employee: {_id: ObjectId, employeeId: IAS-1234, fullName: Ahmad Santoso, orgUnitId: ObjectId, positionId: ObjectId, employmentType: permanent} | OrgUnit: {_id: ObjectId, code: IT, name: Information Technology, parentId: ObjectId, level: 3} | OrgStructureVersion: {versionNumber: 3, status: active, structure: {...}, mermaidDiagram: ...}",,,TransportBooking: {_id: ObjectId, requestorId: ObjectId, pickupLocation: {lat: -6.2088, lng: 106.8456}, purpose: client_meeting, status: approved} | MeetingBooking: {_id: ObjectId, roomId: ObjectId, startTime: ISODate, participants: [...], catering: true} | VehicleTracking: {_id: ObjectId, vehicleId: ObjectId, location: {lat: -6.2088, lng: 106.8456}, timestamp: ISODate, speed: 45} | FacilityRequest: {_id: ObjectId, requestorId: ObjectId, itemType: ATK, quantity: 5, status: pending},,
Number of rows/documents of the biggest tables/collections,TRUE,"Customers: 100K, Orders: 1M rows",,,"employees: 1,200 | org_units: 150 | users: 1,500 | oauth_clients: 50 | org_structure_versions: 20 | employee_history: 10,000 | audit_logs: 50,000 | sk_penempatan: 100 | partners: 200",,"employees: 120 | org_units: 15 | users: 150 | oauth_clients: 5 | org_structure_versions: 5","transportation_bookings: 50,000/year | meeting_bookings: 80,000/year | vehicle_tracking: 5M/year (GPS points) | facility_requests: 20,000/year | users: 1,200 | vehicles: 50 | drivers: 40 | meeting_rooms: 30 | vouchers: 1,000",,"transportation_bookings: 1,000 | meeting_bookings: 2,000 | vehicle_tracking: 10,000 | facility_requests: 500 | users: 120 | vehicles: 10 | drivers: 8 | meeting_rooms: 5"
Average record size (avg row size or document size),TRUE,"Customers: 5 KB, Orders: 2 KB",,,"employees: 3 KB | org_units: 1 KB | users: 2 KB | employee_history: 4 KB | audit_logs: 2 KB | org_structure_versions: 50 KB (includes Mermaid diagrams) | sk_penempatan: 10 KB",,"employees: 3 KB | org_units: 1 KB | users: 2 KB","transportation_bookings: 4 KB | meeting_bookings: 5 KB | vehicle_tracking: 0.5 KB (GPS point) | facility_requests: 3 KB | obd_data: 2 KB | users: 2 KB | vouchers: 1.5 KB",,"transportation_bookings: 4 KB | meeting_bookings: 5 KB | vehicle_tracking: 0.5 KB"
"Are some documents accessed more frequently than others? If so, which ones and what is the percentage of the frequently accessed data vs the total data size?",TRUE,"Yes, the last 30 days of Orders for processing. If app frequently retrieves 7 days of data and total spans 1 year, then frequently accessed % is 7/365*100 = 1.92%",,,"Yes, active employees (current assignments) and active org structure version are accessed most frequently. Current org structure version: 5% of total data | Active employees (employment_status=active): 90% of employee data | Recent audit logs (last 90 days): 18% of audit log data | Frequently accessed data: ~20% of total data",,"Same as production but smaller dataset","Yes, recent bookings and active tracking data are accessed most frequently. Today's transportation bookings: 0.3% of total bookings | Last 7 days of GPS tracking: 2% of tracking data | Active meeting bookings (today + next 7 days): 2% of total bookings | Pending facility requests: 5% of requests | Frequently accessed data: ~15% of total data",,"Same as production but smaller dataset"
Data retention (how long we keep the data for?),TRUE,"12 months, then deleted and archived",,,"Indefinite for core data (employees, org structure versions, SK Penempatan for compliance) | Audit logs: 5 years | Employee history: Indefinite (compliance requirement) | Session tokens: 7 days | OAuth tokens: 90 days",,"Same as production","Transportation bookings: 2 years (then archived) | Meeting bookings: 2 years (then archived) | GPS tracking data: 6 months (then archived) | OBD data: 1 year (for maintenance analysis) | Facility requests: 2 years | Audit logs: 3 years",,"6 months (development/testing)"
Expected growth per year,TRUE,10%,,,25%,,,30% (business expansion + feature adoption),,,
Usage,,,,,,,,,,
"Workload breakdown: What is the high-level distribution of reads/writes? Is it a write-heavy or read-heavy workload?",TRUE,"Products: Read 80% Write 20%, Orders: Reads 10% Write 90%",,,"Read-heavy overall (70% reads, 30% writes) | employees: Read 80% Write 20% | users: Read 90% Write 10% | org_units: Read 95% Write 5% | audit_logs: Read 30% Write 70% (write-heavy) | oauth tokens: Read 60% Write 40%",,"Read 80%, Write 20%","Mixed workload (60% reads, 40% writes) | transportation_bookings: Read 50% Write 50% | meeting_bookings: Read 50% Write 50% | vehicle_tracking: Read 20% Write 80% (GPS updates) | facility_requests: Read 60% Write 40% | vouchers: Read 70% Write 30%",,"Read 70%, Write 30%"
